Name, SamAccountName, Password
SPSFarm, spsfarm, !53cret5VC4ctPwd!
SPSServices, spsservices, !53cret5VC4ctPwd!
SPSPortalAppPool, spsportalapppool, !53cret5VC4ctPwd!
SPSProfilesAppPool, spsprofilesapppool, !53cret5VC4ctPwd!
SPSSearchService, spssearchservice, !53cret5VC4ctPwd!
SPSCacheSuperUser, spscachesuperuser, !53cret5VC4ctPwd!
SPSCacheSuperReader, spscachesuperreader, !53cret5VC4ctPwd!
SPSProfileSync, spsprofilesync, !53cret5VC4ctPwd!
SPSSearchContent, spssearchcontent, !53cret5VC4ctPwd!
SPSOfficeUser, spsofficeuser, !53cret5VC4ctPwd!
SPSPPService, spsppservice, !53cret5VC4ctPwd!
SVCValo, svcvalo, !53cret5VC4ctPwd!
